Holiday,Date
Gazetted Holiday,26-1-2017
Gazetted Holiday,24-2-2017
Gazetted Holiday,4-4-2017
Gazetted Holiday,9-4-2017
Gazetted Holiday,14-4-2017
Gazetted Holiday,10-5-2017
"Muslim, Common local holiday",26-6-2017
Gazetted Holiday,15-8-2017
Gazetted Holiday,15-8-2017
Gazetted Holiday,2-9-2017
Gazetted Holiday,30-9-2017
Gazetted Holiday,1-10-2017
Gazetted Holiday,2-10-2017
Gazetted Holiday,19-10-2017
Gazetted Holiday,4-11-2017
Gazetted Holiday,2-12-2017
Gazetted Holiday,25-12-2017
Gazetted Holiday,26-1-2018
Gazetted Holiday,14-2-2018
Gazetted Holiday,29-3-2018
Gazetted Holiday,30-3-2018
Gazetted Holiday,14-4-2018
Gazetted Holiday,30-4-2018
"Muslim, Common local holiday",15-6-2018
Gazetted Holiday,16-6-2018
Gazetted Holiday,15-8-2018
Gazetted Holiday,22-8-2018
Gazetted Holiday,3-9-2018
Gazetted Holiday,21-9-2018
Gazetted Holiday,2-10-2018
Gazetted Holiday,19-10-2018
Gazetted Holiday,7-11-2018
Gazetted Holiday,21-11-2018
Gazetted Holiday,23-11-2018
Gazetted Holiday,25-12-2018
Restricted Holiday,13-1-2019
Gazetted Holiday,26-1-2019
Gazetted Holiday,4-3-2019
Restricted Holiday,21-3-2019
Gazetted Holiday,14-4-2019
Gazetted Holiday,17-4-2019
Gazetted Holiday,19-4-2019
Gazetted Holiday,18-5-2019
Gazetted Holiday,5-6-2019
"Muslim, Common local holiday",5-6-2019
Gazetted Holiday,12-8-2019
Gazetted Holiday,15-8-2019
Gazetted Holiday,24-8-2019
Gazetted Holiday,10-9-2019
Gazetted Holiday,2-10-2019
Gazetted Holiday,8-10-2019
Gazetted Holiday,27-10-2019
Gazetted Holiday,10-11-2019
Gazetted Holiday,12-11-2019
Gazetted Holiday,25-12-2019
